Method,LogLik,sigma_y,a,b,sigma_x,ID
Robust (c=5.14),-633.3872273009779,0.22481462612331543,0.010301733482757593,0.9987250961910678,0.007594459819523585,63
Standard (c=1000),-2220.1913179359026,0.47360052030645255,0.030165385647046815,0.9973381364937107,0.007638242589793816,63
Robust (c=5.14),-625.3553808465659,0.22570418948997642,0.03945594818408586,0.9964086960661271,0.00744261912071865,64
Standard (c=1000),-2202.694105546936,0.46132006752428745,0.07364516955851517,0.9934074952899812,0.0069133661534424495,64
Robust (c=5.14),-28021.803540623994,1.9989808285603232,0.0038052042263609868,0.9909617786484564,0.00019581065946821312,65
Standard (c=1000),-61446.52029604908,1.9998079248300917,0.003901317134718814,0.9909582089087712,0.0019752402718988434,65
Robust (c=5.14),-626.2610817214464,0.2327528996102755,0.0070003870623801005,0.9993788517018889,0.0059189121220436045,66
Standard (c=1000),-2209.2346831693762,0.4553813613692379,0.005647626597914977,0.999582667856761,0.0047183194519830746,66
Robust (c=5.14),-624.9066975084863,0.23030919988831566,0.03470863573576413,0.9969322532728245,0.006787946259498363,67
Standard (c=1000),-2234.633413019399,0.4179136122941689,0.06890835343766846,0.9937095086498527,0.006375407192379444,67
Robust (c=5.14),-5078.8476618810355,1.9256265307474585,0.004026989148369074,0.9989754123123971,0.009086409788097216,68
Standard (c=1000),-44224.541020159064,1.9997786855431714,0.005316303176086676,0.9968634203019353,0.0008227620196024142,68
Robust (c=5.14),-627.1141251642466,0.2207974011234408,0.055563421021919364,0.9946336128571563,0.007307465630921986,69
Standard (c=1000),-6828.59372533646,0.19879228394141304,0.08066356731320112,0.9438852710698101,0.21516587791854888,69
Robust (c=5.14),-2764.1027796320795,0.839413452296237,0.20030211215574223,0.9827016482899358,0.005089291309336465,70
Standard (c=1000),-3541.5293143793865,0.983447673670309,0.18883158911167433,0.979386733704549,0.02395678700125896,70
Robust (c=5.14),-623.4585572698877,0.2291270140674315,0.0455445966165954,0.9958560242296511,0.0065330112587115505,71
Standard (c=1000),-2214.112112671878,0.4746435402597965,0.039987471020106774,0.9959915360049207,0.007079082118845933,71
Robust (c=5.14),-618.1011636975142,0.22452266301202184,0.0920204684497816,0.991705727934061,0.0069878038188601645,72
Standard (c=1000),-2205.749355877348,0.4677943031457126,0.06255159511052644,0.9944821949414657,0.005412824224252342,72
Robust (c=5.14),-646.9298275347493,0.2492511433000994,0.03238531941970117,0.997050100776107,0.004306732030659364,73
Standard (c=1000),-2213.3142699773275,0.44733098709042846,0.021525992529370264,0.9984261683719095,0.006877658269980596,73
Robust (c=5.14),-620.7564967932188,0.2256046676578513,0.08071801033502177,0.9926801930090622,0.007132639272126808,74
Standard (c=1000),-2211.483084546974,0.4704073073145533,0.10099806567558589,0.9907759233231428,0.008420379722809889,74
Robust (c=5.14),-635.6685149266135,0.24667139866941237,0.012576655234920887,0.9988092235927682,0.005377807579359632,75
Standard (c=1000),-2503.0446641831063,0.4087639147967097,0.055501881213398385,0.9999999628938815,0.018873893170863316,75
Robust (c=5.14),-2647.6152615824813,0.6120447888594235,0.1344369898520905,0.9879673803493711,0.0005977308437143913,76
Standard (c=1000),-3073.4656864368085,0.7299571747122562,0.12667675953799865,0.988620995797658,0.0008249101699707121,76
Robust (c=5.14),-1442.0019323111483,0.3470255897317828,0.07703357867120954,0.9997763079084165,0.017373573727401552,77
